source,text,created_at,retweet_count,favorite_count,is_retweet,id_str
Twitter for iPhone,To the people of South Carolina Tom Steyer is a joke laughed at by everyone a total incompetent. He made money in coal now he “hates” coal. Did you see him fawning over Crazy Bernie? Has no chance a loser for South Carolina doesn’t deserve your vote!,2/28/2020 14:54,18676,93228,FALSE,1.23341E+18
Twitter for iPhone,RT @ByronYork: Amusing: First Bloomberg called for Biden Buttigieg Klobuchar to quit race. Hey all you losers leave it to Mike! Now Te…,2/22/2020 3:55,4082,0,TRUE,1.23106E+18
Twitter for iPhone,Mini Mike Bloomberg is a LOSER who has money but can’t debate and has zero presence you will see. He reminds me of a tiny version of Jeb “Low Energy” Bush but Jeb has more political skill and has treated the Black community much better than Mini! https://t.co/qIef5VhjDr,2/13/2020 13:13,22416,94518,FALSE,1.22794E+18
Twitter for iPhone,Steyer is a major loser. Just doesn’t get it. This is second time with Bernie! https://t.co/fxZh8zNhks,1/22/2020 13:23,7410,33830,FALSE,1.21997E+18
Twitter for iPhone,Two stone cold losers from Amazon WP. Almost every story is a made up lie just like corrupt pol Shifty Schiff who fraudulently made up my call with Ukraine. Fiction! https://t.co/0Oad0738NG,1/20/2020 18:48,15316,60108,FALSE,1.21933E+18
Twitter for iPhone,RT @RepMattGaetz: There are a lot of moderate Dems who recognize what a political loser impeachment is.They're encouraging their leadersh…,12/12/2019 12:40,5051,0,TRUE,1.20511E+18
Twitter for iPhone,Don’t get why @FoxNews puts losers on like @RepSwalwell (who got ZERO as presidential candidate before quitting) Pramila Jayapal David Cicilline and others who are Radical Left Haters? The Dems wouldn’t let @FoxNews get near their bad ratings debates yet Fox panders. Pathetic!,12/8/2019 19:42,14571,54970,FALSE,1.20376E+18
Twitter for iPhone,Why do @ShannonBream &amp; @FoxNews waste airtime on Democrat Rep. Eric Swalwell who recently left the Presidential Primaries having attained a grand number of ZERO in the polls. I don’t even know how that is possible. Fox should stay with the people that got them there not losers!,11/21/2019 12:26,12543,49794,FALSE,1.19749E+18
Twitter for iPhone,“Nancy Pelosi cares more about power than she does about principle. She did not want to go down this road. She realizes this is a huge loser for Democrats. The Founders envisioned the worst people being in politics yet they couldn’t envision this. You have these people taking...,11/13/2019 13:18,15818,59700,FALSE,1.19461E+18
Twitter for iPhone,But the Witch Hunt continues. After 3 years of relentless attacks against the Republican Party &amp; me the Do Nothing Dems are losers for America! https://t.co/met2y8VoPe,11/9/2019 16:15,16184,62448,FALSE,1.1932E+18
Twitter for iPhone,Who the hell is Joy-Ann Reid? Never met her she knows ZERO about me has NO talent and truly doesn’t have the “it” factor needed for success in showbiz. Had a bad reputation and now works for the Comcast/NBC losers making up phony stories about me. Low Ratings. Fake News!,9/14/2019 13:04,19049,90761,FALSE,1.17286E+18
Twitter for iPhone,A made up Radical Left Story about Doral bedbugs but Bret Stephens is loaded up with them! Been calling me wrong for years along with the few remaining Never Trumpers - All Losers! https://t.co/KlzzMC40Vt,8/28/2019 3:23,12697,54509,FALSE,1.16655E+18
Twitter for iPhone,Just watched a world class loser Tim O’Brien who I haven’t seen or spoken to in many years &amp; knows NOTHING about me except that he wrote a failed hit piece book about me 15 years ago. Fired like a dog from other jobs? Saw him on Lyin’ Brian Williams Trump Slam Show. Bad TV....,8/8/2019 4:20,19724,111272,FALSE,1.15932E+18
Twitter for iPhone,....I am so amazed that MSNBC &amp; CNN can keep putting on over and over again people that have no idea what I am all about and yet they speak as experts on “Trump.” Same people since long before the 2016 Election and how did that work out for the Haters and Losers. Not well!,8/8/2019 4:20,19748,111268,FALSE,1.15932E+18
Twitter for iPhone,Great news for the Republican Party as one of the dumbest &amp; most disloyal men in Congress is “quitting” the Party. No Collusion No Obstruction! Knew he couldn’t get the nomination to run again in the Great State of Michigan. Already being challenged for his seat. A total loser!,7/4/2019 13:05,25722,116119,FALSE,1.14677E+18
Twitter for iPhone,RT @RealCandaceO: You cannot be a victim and a victor at the same time. You can either choose to win or accept your status as a loser.…,7/4/2019 12:42,16065,0,FALSE,1.14676E+18
Twitter for iPhone,Big Rally tomorrow night in Orlando Florida looks to be setting records. We are building large movie screens outside to take care of everybody. Over 100000 requests. Our Country is doing great far beyond what the haters &amp; losers thought possible - and it will only get better!,6/17/2019 12:00,25894,106228,FALSE,1.14059E+18
Twitter for iPhone,The Corrupt News Media is totally out of control - they have given up and don’t even care anymore. Mainstream Media has ZERO CREDIBILITY - TOTAL LOSERS!,6/15/2019 19:04,26250,104743,FALSE,1.13997E+18
Twitter for iPhone,....other than to know he was and is a total Loser. When he makes statements about me they are made up he knows nothing!,6/9/2019 3:54,10528,59643,FALSE,1.13757E+18
Twitter for iPhone,.@SadiqKhan who by all accounts has done a terrible job as Mayor of London has been foolishly “nasty” to the visiting President of the United States by far the most important ally of the United Kingdom. He is a stone cold loser who should focus on crime in London not me......,6/3/2019 7:51,47335,201594,FALSE,1.13545E+18
Twitter for iPhone,....he would see that it was nevertheless strong on NO COLLUSION and ultimately NO OBSTRUCTION...Anyway how do you Obstruct when there is no crime and in fact the crimes were committed by the other side? Justin is a loser who sadly plays right into our opponents hands!,5/19/2019 13:55,17264,78231,FALSE,1.13011E+18
Twitter for iPhone,....There is nothing to admire about them they will always try to show a glimmer of vicious hope but they are losers and barely breathing. Think about that before you destroy your lives and the lives of your family!,3/22/2019 16:15,18777,105976,FALSE,1.10913E+18
Twitter for iPhone,George Conway often referred to as Mr. Kellyanne Conway by those who know him is VERY jealous of his wife’s success &amp; angry that I with her help didn’t give him the job he so desperately wanted. I barely know him but just take a look a stone cold LOSER &amp; husband from hell!,3/20/2019 11:51,26011,127551,FALSE,1.10834E+18
Twitter for iPhone,A total loser! https://t.co/vm3Vv2f9jf,3/19/2019 12:34,15861,69178,FALSE,1.10798E+18
Twitter for iPhone,RT @vmbb12: We have to fight back. They have not let up on President Trump nor his supporters since they lost. They are losers we are win…,3/17/2019 21:36,15485,0,FALSE,1.1074E+18
Twitter for iPhone,....must stay strong and fight back with vigor. Stop working soooo hard on being politically correct which will only bring you down and continue to fight for our Country. The losers all want what you have don’t give it to them. Be strong &amp; prosper be weak &amp; die! Stay true....,3/17/2019 13:33,26567,104362,FALSE,1.10727E+18
Twitter for iPhone,“Now that the Dems are going to try &amp; switch from Collusion to some other reason it makes them continue to look like sore losers who didn’t accept the WILL OF THE PEOPLE in the last election - they will do anything to get rid of the President.” @AriFleischer It will never work!,3/4/2019 20:06,25885,102759,FALSE,1.10266E+18
Twitter for iPhone,I never said anything bad about Andrew McCabe’s wife other than she (they) should not have taken large amounts of campaign money from a Crooked Hillary source when Clinton was under investigation by the FBI. I never called his wife a loser to him (another McCabe made up lie)!,2/19/2019 16:05,25963,116520,FALSE,1.09789E+18
Twitter for iPhone,Lyin’ James Comey Andrew McCabe Peter S and his lover agent Lisa Page &amp; more all disgraced and/or fired and caught in the act. These are just some of the losers that tried to do a number on your President. Part of the Witch Hunt. Remember the “insurance policy?” This is it!,1/12/2019 14:20,27269,110175,FALSE,1.08409E+18
Twitter for iPhone,How can “Senator” Richard Blumenthal who went around for twenty years as a Connecticut politician bragging that he was a great Marine war hero in Vietnam (then got caught and sobbingly admitted he was neither a Marine nor ever in Vietnam) pass judgement on anyone? Loser!,8/17/2018 0:56,30040,110496,FALSE,1.03026E+18
